Question,Correct Answer,Option A,Option B,Option C,Option D
Hard copies can be obtained from -,Printer,Scanner,Speaker,Printer,Recorder
 The functional components of a digital computer are:,Central Processing Unit,Input Device,Printer,Central Processing Unit,Memory
. What is the binary number equivalent of the decimal number 32.25 ?,10/14/2173,100010.1,100000.1, 100010.01,100000.01
 What is (1111)2 + (1001)2 - (1010)2 equal to?,(1110)2, (111)2,(1100)2,(1110)2,(1010)2
'Bing' is a web search engine owned and operated by -,Microsoft,Meta,Alphabets,Microsoft,Amazon
"In MS-DOS, the command is used to clear the screen is -",Cls,Wipe,Cls,Clear,Clear Screen
" Related to computers, what is meant by software?",computer programs,floppy discs,computer programs,computer circuitry,human brain
To find the user's Password for hacking purposes refers to -,Sniffing,Sniffing,Spoofing,Cyber Stalking,Spamming
Which is the largest unit of storage among the following?,Terabyte,Terabyte,Megabyte,Byte,Gigabyte
"___________ is a computer, appliance, or router that sits between trusted and untrusted systems.",firewall,hub,switch,firewall,bridge
Which of the following units is used to measure the speed of a computer?,MIPS,BAUD,MIPS,SYPS,Byte
Which of the following is an extension of a temporary file?,.tmp, .tnt, .txt,.tmp,.tar
DHCP is mainly used in -,Providing IP address automatically to the devices,Routing,Converting IP address to domain name,Providing IP address automatically to the devices,Multicasting
Virtual Keyboards protect the computer against -,All of the above,Password theft,Trojan programs,Spyware,All of the above
An e-mail that appears to originate from one source but actually has been sent from another -,Spoofing,Phishing,Spoofing,Spamming,Sniffing
"In a network environment, which is not a server?",Network Server,File Server,Print Server,Application Server,Network Server
............... is not a common network topology.,Grid,Bus,Star,Ring,Grid
A ........................ is used to transfer data packets between two computer networks.,Router,Switch,Router,Brouter,Gateway
 A database that contains the names and addresses of various hosts on the internet is called -,Domain Name System,Domain Name Service,Domain Name System,DNS File System,None of the above
______________ is unwanted e-mail or junk mail.,Spam,Bomb,phatBot,Spam,Worm
 The process of eliminating logical errors is known as -,debugging,testing,debugging,Maintenance,evaluation
_____ programs are used to create numeric-based documents such as budgets .,Spread sheet,Word processing,Presentation,Spread sheet,Graphics
What is Ethernet?,A protocol used by many wired LAN's,A protocol used by many wired LAN's,A protocol used for address translation,A security protocol,A collision detection protocol
 What is the World Wide Web (www)?,Collection of webpages stored on websites,Collection of webpages stored on websites,Interconnected networks,Hypertext processor,Web browser
Which one of the following is not a search engine?,Chrome,Google,Chrome,Yahoo,Bing
What is PHP in programming?, General purpose programming language, General purpose programming language,Central processing unit,Central processing union,None of the above
Which of these is the smallest possible unit of data?,Bit,Bit,Byte,Kilobyte,Megabyte
Which is one of the following is not an output device?,Keyboard,Keyboard,Visual Display Units,Printer,Plotter
Which web browser was developed by Google?,Chrome,Internet Explorer,Firefox,Safari,Chrome
"On the web, the base unit for every website or document which contains information is a -",webpage,weblog,webpage,webserver,webmail
............ bus joins only CPU with RAM which contains memory addresses in it.,Address,Accelerated Graphic Port (AGP),Peripheral Component Interconnect (PCI),Address,Data
What is the maximum limit of free cloud storage on Google drive?,15 GB,2 GB,10 GB,15 GB,20 GB
A person who uses his expertise for develop a software is known as -,Programmer,Programmer,Security Hacker,Analyst,None of the above
Keys used for performing specific tasks are known as -,Function key,Toggle key,Modifier key,Function key,Alphanumeric key
Total number of pins present in VGA cable are -,1/14/1900,15,20,150,10
What is Koo?,Micro blogging app developed by Indians,Short film on environment degradation,Micro blogging app developed by Indians,An endangered species of a bird,An award winning Nobel
What does CPU stand for?,Central Processing Unit,Central Processing Unit,Central Process Unit,Computer Personal Unit,Center Pressure Unit
What is full-form of Ram?,Random Access Memory,Random Access Memory,Read-Only Memory,Real-time Analysis Memory,Random Algorithm Memory
Which input device is used to move the cursor on the screen? ,Mouse ,Keyboard ,Mouse ,Scanner ,Printer 
What is the primary function of the motherboard?,Circuit connection,Power supply ,Data storage,Communication ,Circuit connection
Which storage device has the highest capacity?,Hard disk drive (HDD),Hard disk drive (HDD),Solid-state drive (SSD),USB flash drive – USB,CD-ROM
What is the purpose of an operating system?,Manage hardware resources,Run computer programs,Manage hardware resources,Connect to the internet,Play multimedia files
Which programming language is known for its readability and simplicity? ,Python ,Java ,C++,Python ,Ruby 
What is the most common type of computer network?,LAN,PAN,LAN,MAN,WAN
What is the significance of the ‘Ctrl + C’ keyboard shortcut? ,Copy ,Copy ,Cut ,Paste ,Undo 
What is the default file extension for a Microsoft Word document?,docx,docx,txt,pdf,exe
"In computing, what does GUI stand for?",Graphical User Interface,General User Interface,Graphical User Interface,Gateway User Interface,General Unit Interface
What is the main purpose of a web browser?,Web navigation,Document editing,Gaming ,Web navigation,File management 
Which company developed the first graphical user interface (GUI)?,Xerox ,Microsoft ,Apple ,IBM ,Xerox 
What does HTML stand for in web development?,HyperText Markup Language,HyperText Markup Language,High-Level Text Management Language,Hyperlink and Text Manipulation Language,HyperTransfer and Multimedia Language
What is the role of a modem in computer networking? ,Communication ,Data storage,Communication ,Print management,File sharing
What is the purpose of the ‘Shift’ key on a keyboard?,Capitalize letters,Capitalize letters,Start a new line ,Access special characters,Delete text
Which programming language is commonly used for creating web pages? ,HTML ,Python ,Java ,HTML ,C++
What is the function of the ‘Ctrl + Z’ keyboard shortcut? ,Undo ,Save ,Print ,Undo ,Copy 
What is the purpose of a firewall in computer security?,Network protection,Data storage,Network protection,File sharing,Print management
Which device is used to input sound into a computer?,Microphone,Microphone,Webcam ,Keyboard ,Mouse 
What is the function of the ‘Backspace’ key on a keyboard?,Delete the character to the left of the cursor,Move the cursor to the beginning,Permanently Delete an item,Move the cursor one space forward,Delete the character to the left of the cursor
What is the purpose of a cache memory in a computer? ,Temporary data storage,Long-term data storage,Temporary data storage,File organization,Data transmission
Which file format is commonly used for images on the web?,JPG,MP3,PDF,JPG,TXT
What is the default protocol for sending emails on the Internet?,SMTP,FTP,SMTP,HTTP,DHCP
"In computer graphics, what does RGB stand for?","Red, Green, Blue","Red, Green, Blue",Random Graphics Buffer,Readable Graphics Byte,Responsive Graphics Block
What is the purpose of the ‘Alt + Tab’ keyboard shortcut? ,Switch between open applications,Open a new tab in the browser,Switch between open applications,Tabulate data in a spreadsheet,Align text to the right
Which programming language is often used for scientific and mathematical applications?,Fortran,Java,Python,C#,Fortran
What does the acronym URL stand for?,Uniform Resource Locator,Universal Resource Locator,Uniform Resource Locator,Unified Resource Locator,Unique Resource Locator
What is the role of a DNS server in computer networking?,Domain name resolution,Data storage,Network security,Internet protocol,Domain name resolution
Which type of software provides a user interface for interacting with a computer?,Application software,System software,Application software,Utility software,Firmware
"In database terminology, what does SQL stand for?",Structured Query Language,Structured Question Language,System Query Language,Structured Query Language,System Question Language
What is the purpose of a router in a computer network? ,Connect multiple networks,File Sharing,Connect multiple networks,Store data,Display web pages
Which programming language is commonly used for game development?, C++,Python,Java, C++,Ruby
What is the role of a compiler in programming?,Translate source code to machine code,Execute program instructions,Translate source code to machine code,Manage memory resources,Control input and output operations
"What is cloud computing, and how does it work? ",Internet-based computing using shared resources,Storing data on physical servers,Accessing files from a local computer,Internet-based computing using shared resources,Creating clouds in the sky
Explain the concept of virtualization in computing.,Running multiple operating systems on a single machine, Simulating real-world scenarios,Creating virtual realities,Running multiple operating systems on a single machine,Enhancing computer graphics
What is the purpose of an IP address in networking? ,Identify a device on the internet,Identify a device on the internet,Determine the device model,Execute commands on a device,Provide internet access
What is the significance of the ‘404 error’ in web browsing? ,Server not found,Successful webpage loading,Server not found,Internet connection lost,File downloaded successfully
How does a computer virus spread and infect systems? ,All of the above,By sharing USB drives,Over the internet and infected files,Via email attachments,All of the above
Define the term “algorithm” in computer science.,A sequence of steps to perform a task,A type of computer hardware,A sequence of steps to perform a task,A programming language,An operating system
What are the main components of a graphics processing unit (GPU),"Cores, memory, and a memory bus",Central Processing Unit (CPU),Memory and storage,Arithmetic Logic Unit (ALU) only,"Cores, memory, and a memory bus"
What is the purpose of a version control system in software development?,Manages changes to source code over time,It controls the version of the operating system,Manages changes to source code over time,Determines the compatibility of software,Monitors internet speed
What is the purpose of a subnet mask in networking?,Identifies a specific network,Identifies a specific network,Prevents unauthorized access to a network,Manages internet speed,Controls data transfer between devices
How does a computer’s power supply unit (PSU) work?,Converts AC power to DC power,Converts AC power to DC power,Regulates internet speed,Controls data storage on a hard drive,Monitors temperature of internal components
IC chips used in computers are usually made of:,Silicon,Lead,Silicon,Chromium,Gold
One kilobyte is equal to:,1024 bytes,1000 bytes,100 bytes,1024 bytes,1023 bytes
Which of the following is not an example of Operating System?, Microsoft Office XP,Windows 98,BSD Unix, Microsoft Office XP,Red Hat Linux
 Which supercomputer is developed by the Indian Scientists?,Param,Param,Super 301, Compaq Presario,CRAY YMP
One Gigabyte is approximately equal is:,"1000,000,000 bytes","1000,000 bytes","1000,000,000 bytes","1000,000,000,000 bytes",None of these
Find out the odd one:,Internet,Internet,Linux,Unix,Windows
What kind of errors can be pointed out by the compiler?,Syntax error,Syntax error,Symantic error,Logical error,Internal error
What is the control unit's function in the CPU?,To perform logic functions.,To transfer data to primary storage,To store program instructions,To perform logic functions.,To decode program instructions
What do you use to create a chart?,Chart Wizard,Pie Wizard,Excel Wizard,Data Wizard,Chart Wizard
what is the default chart type in Microsoft excel?,column chart,pie chart,line chart,surface chart,column chart
Which computer virus records every movement you make on the computer?,Key Logger,Malware Android,DoS,Key Logger,Trapper
Mail merge is a component of which of the following?,MS Word,MS Word,MS Excel,Word Press, MS Access
Which keys are used to switch between programs in windows?, Alt+TAB,Ctrl+TAB, Alt+TAB,Shift+TAB, Shift+Enter
What is the mascot of the Linux operating system?,Penguin,Bear,Penguin,Lion,whale
Laser printer resolution is specified in terms of:,DPI,DPI,LPM,CPM,LSI
3 A nibble is equal to bits.,1/3/1900,4,8,16, 32
MacOS is the operating system created by _____,Apple,Apple,Microsoft,Google,IBM
High Sierra was released in 2017. It is a/an ______,Operating System,Operating System,Graphic User Interface,Modem,Router
______ is known as the father of computers.,Charles Babbage,Clifford Berry,Alan Turing,Douglas Englebart,Charles Babbage
____ invented Java Programming language in 1994.,James Gosling,Dennis Ritchie,Yukihiro Matsumoto,Bjarne Stroustrup,James Gosling
 1 TB (Terabyte) is equal to ______,1000 GB,100 GB,1000 GB,10 GB,10000 GB
Dennis Ritchie is known as the father of ______ language,C,Python,C,Java,None of the above
_____ is not a programming language,HTML,HTML,Java,Python, C++
bit is short for ______,Binary digit,binary tree,Bivariate Theory,Binary digit,None of the above
ASCII Code is a ________,7 bit code,10 bit code,9 bit code,7 bit code,5 bit code
World’s fastest supercomputer is ______,Fugaku Supercomputer,Fugaku Supercomputer,Mihir,Cray XC 40,None of the above
The tasks performed by Excel are similar to ______,Spreadsheet,Word,Powerpoint,Microsoft Outlook,Spreadsheet
Central Processing Unit (CPU) has which of the following components?,All of the above,Control Unit,ALU (Arithmetic Logic Unit),Memory or storage unit,All of the above
Which of the following is the first calculating device?,Abacus,Abacus,Calculator,Turing Machine,Pascaline
Who invented mechanical calculator called Pascaline?, Blaise Pascal,Charles Babbage, Blaise Pascal,Alan Turing,Lee De Forest
Who among the following considered as the 'father of artificial intelligence'?,John McCarthy,Charles Babbage,Lee De Forest,John McCarthy,JP Eckert
Which was the world's first successful electronic computer?,ENIAC electronic Numerical Integrator and computer,PARAM,CRAY-1,Pascaline,ENIAC electronic Numerical Integrator and computer
 Who among the following used the term computer worm for the first time?,John Brunner,John Brunner,Alan Turing,John McCarthy,JP Eckert
"Which was first virus detected on ARPANET, the forerunner of the internet in the early 1970s?",Creeper Virus,Exe Flie,Creeper Virus,Peeper Virus,Trozen horse
Select the example of application software of computer:,Both A and B,Ms Word,Ms Excel,Both A and B,MS-DOS
Which of the following is also called translator?,Language Processor,Data representation,MS-DOS,Operating System,Language Processor
How the quality of printer is measured?,Dots per Inch,Alphabet per strike,Words per Inch, Strike per Inch,Dots per Inch
 What is the mascot of the Linux operating system?,Penguin,Bear,Penguin,Lion,whale
Laser printer resolution is specified in terms of:,DPI,DPI,LPM,CPM,LSI
The instruction about booting your system is stored in:,BIOS,RAM,CPU,BIOS,Register
What is called the syntax analysis part in the machine language transformation of a high-level language?,parsing,lexical analysis,semantic analysis,parsing,linking
Which of the following is not true for for-loop?,for (i=10; i++; i,for (i=0; i,for (int i=0; i>9; i++),for (i=10; i,for (i=10; i++; i
Which of the following are Operators in C?,all of the above,arithmetic operators,logical operator,relational operators,all of the above
Which of the following devices tells the difference between multicast and unicast packets?,multicast switch,multicast switch,developed,advanced router,multicast router
What is the maximum amount of loan that can be extended by payment banks?,No lending power,25000,50000,100000,No lending power
The view of total database content is_________,Conceptual view,Conceptual view,Internal View,External view,Physical view
The DBMS acts as an interface between what two components of an enterprise-class database system?,Database application and the database,Database application and the database,Data and the database,The user and the database application,Database application and SQL
The following are components of a database except ________,reports,user data,metadata,reports,indexes
Which of the following shortcut keys is used to make the contents of a cell underlined in MS Excel 365?,Ctrl + U,Ctrl + 6,Ctrl + 3,Ctrl + 2,Ctrl + U
What is used for holding program instructions that can't be changed throughout the life of the computer?,ROM,ROM,Register,RAM,Cache
It is used to connect a pen drive to computer.,USB port,USB port,Parallel port,Serial port,Network port
The search results are generally presented in a line of results often referred to as :,Search Engine Result Pages,Tag List,Search Engine Result Pages,Search Engine Pages,Category List
Which of the following is not a search engine?,Windows,Yahoo,Bingo,Google,Windows
____ is an output device that is used for TV Like displays the output on the screen and it is also called visual display unit.,monitor,Printer,monitor,Plotter,Projector
Integrated circuit is related to which generation of computer?,third generation,first generation,second generation,third generation, fourth generation
Which of the following is the full form of MOOC?,Massive Open Online Courses,Modern Open Online Courses,Massive Open Online Courses,Massive Online Open Courses,Mechanical Online Courses
Communication controls for the entire computer system?,Motherboard,Motherboard,Processor,Semi conductor,coprocessor
Which shortcut key is used to save a file in MS Word 365?,Ctrl + S,Alt + S,Alt + F,Ctrl + S,Ctrl + F
DVD Example is-,optical disc,hard disk,optical disc,output device,solid state storage device
The data remains the same after saving the file and turning off the computer-,in secondary storage,in RAM,in secondary storage,in the motherboard, in primary storage
Built-in memory of computer is-,ROM,ROM,PROM,EPROM,RAM
The acronym of Reusable Optical Storage is-,ROM,CD,CD-RW,DVD,ROM
Which device is used to reproduce drawings using pens that are attached to movable arms? ,Plotter,Plotter,Light Pen,Scanner,Printer
Scitation' is the online host service of - ,American Institute of Physics,American Institute of Physics,University of Maryland,Society for Industrial,Oxford University
Which set of rules is applicable for exchange of files over Internet? ,HTTP,FTP/IP,HTTP,HTML,HYPERLINK
"When data changes in multiple lists and all lists are not updated, this causes ",data inconsistency,data redundancy,information overload,duplicate data,data inconsistency
"A word in a web page that, when clicked, opens another document is called ___",hyperlink,anchor,hyperlink,reference,URL
One Terabyte (1 TB) is equal to?,1024 GB,1028 GB,1012 GB,1000 GB,1024 GB
Which operating system is developed and used by Apple Inc?,iOS,Windows,Android,iOS,UNIX
Which of the following memories is an optical memory? ,CD–ROM,Floppy Disk,Bubble Memories,CD–ROM,Core Memories
Java was originally invented by ,Sun,Oracle,Microsoft,Novell,Sun
Whose trademark is the operating system UNIX? ,BELL Laboratories,Motorola,Microsoft,BELL Laboratories,AshtonTate
Random Access Memory (RAM) is which storage of device?,Primay,Primay,Secondary,Teriary,Off line
What is full form CMOS ?,Complementary Metal Oxide Semiconductor,Content Metal Oxide Semiconductor,Complementary Metal Oxide Semiconductor,Complementary Metal Oxygen Semiconductor,Complementary Metal Oscillator Semiconductor
 MPG is an file extension of which type of files?,Video,Audio,Image,Video,Flash
Who is the founder of the Internet?,Tim Berners-Lee,Vint Cerf,Charles Babbage,Tim Berners-Lee,None of these
Who is the father of email?,Ray Tomlinson,Tim Berners Lee,Charles Babbage,Paul Buchheit,Ray Tomlinson
Which one is the first search engine in internet?,Archie,Google,Archie,Altavista,WAIS
Which one is the first web browser invented in 1990?,Nexus,Internet Explorer,Mosaic,Mozilla,Nexus
Which Penguin is the mascot of Linux Operating system?,TUX,SUX,TUX,MUX,AUX
Which of the following is the most powerful type of computer?,Super computer,Super–micro,Super conductor,Super computer,Megaframe
C is ,A third-generation high level language,A third-generation high level language,A machine language,An assembly language,All of the above
Which component of computer is also considered as it Heart?,Microprocessor,Monitor,Keyboard,Scanner,Microprocessor
 Where BIOS is stored?,Flash Memory Chip,Hard Disk,RAM,Flash Memory Chip,Any of above
 BIOS is used for?,Loading operating system,Updating system information on network,Loading operating system,It helps in routing,It take inputs from keywords and other devices
"In a digital computer, which part consists of arithmetic logic unit, memory unit and the control unit? ",Central Processing Unit,Motherboard,Integrated circuits,Central Processing Unit,Processor
Which is the most common request-response protocol used in Internet for word processing? ,HTTP,SMTP,FTP,HTTP,TTY
Indian National Advisory Board for Libraries was setup in 1966 by -,Ministry of Education,Association of Indian Universities,Ministry of Education,Planning Commission,University Grants Commission
Which of the following is not a language of DBMS? ,PASCAL,DDL,DML,PASCAL,PLI
The ___ of software contains lists of commands and options.,menu bar,title bar,menu bar,formula bar,tool bar
Which one is volatile memory in a computer system?,RAM,Hard Disk,RAM,ROM,Optical Drive
Who first developed QWERTY keyboard used in computers and phones?,No,Raphael Finkel,Wim Ebbinkhuijsen,Shafi Goldwasser,Christopher Latham Sholes
Linus Torvalds develop which operating system?,Linux,Windows,Mac OS,UNIX,Linux
DNS refers to ,Domain Name System,Data Number Sequence,Digital Network Service,Domain Name System,Disk Numbering System
The unit of speed used for super computer is  ,GELOPS,KELOPS,GELOPS,MELOPS,None of these
Second generation of computers consists of which of the following?,Transistors,Vaccum Tubes,Diodes,VLSI Microprocessor,Transistors
Who is the father of Internet ?,Vint Cerf  ,Vint Cerf  ,Tim Berners Lee,Charles Babbage,None of these
 Who invented world wide web ?,Tim Berners Lee  ,Tim Berners Lee  ,Sir Thomas,Charles Babbage,None of these
Internet’s initial development was supported by,ARPANET,Microsoft     ,ARPANET,Bill Rogers ,Bill Gates
Number of bit used by the IPv6 address?,128 bit,32 bit,64 bit,128 bit,256 bit
Which of the following programming language is used to create programs like applets?,Java,COBOL, C Language,Java,BASIC
The first mechanical computer designed by Charles Babbage was called,Analytical Engine,Abacus,Analytical Engine,Calculator,Processor
Which gate is a single integrated circuit? ,Gate,Gate,Mother Board,Chip,CPU
Web pages are written using,HTML,FTP,HTTP,HTML,URL
What is used to make computer chips?,Silicon,Copper,Steel,Silicon,Iron
What is full form of EXIF?,Exchangeable Image File Format,Exchangeable Image Fine Finish,Exchangeable Image File Format,Executable Image File Format,Executable Image File Finish
1 Mega Byte is equal to,1024 Kilo Bytes,1024 Bytes,1024 Kilo Bytes,1024 Giga Bits,1024 Bits
SMTP in networking meant for -,Simple Mail Transfer Proto­col,Simple Mail Transfer Proto­col,Simple Message Transfer Protocol,Simple Mail Transport protocol,System Mail Transport Protocol
Which of the following is not a measuring unit of the processing speed of computers?,MOFS,MHz,MIPS,MOFS,MFLOPS
Which of the following file formats is not a video file format?,MP3,MP3,MP4,MOV,AVI
What is the full form of GPT in Chat GPT?,Generative Pre-Trained Transformer,GUID Partition Table,Grooved Pegboard Test,Generative Pre-Trained Transformer,Glutamic Pyruvic Trans­aminase
Which of the following are com­puter languages?,Java,Cobol,Python,Rust,Java
A computer system includes -,All of the above,Hardware,Software,Peripheral devices,All of the above
IC chips used in computers are made with -,Silicon,Gold,Silicon,Copper,Silver
What is the speed of the computer measured it?,Gigahertz,Nanoseconds,Kilo seconds,Gigahertz,Megabytes
"In the context of the Internet, what is the full form of a URL?",Uniform Resource Locator,User Requested Link,Ultimate Response Location,Unique Request Locator,Uniform Resource Locator
Which of the following is not an example of a Virtual Assistant?,Cortesa,Alexa,Cortana,Siri,Cortesa
The feature(s) of cyber security is /are -,All of the above,Compliance,Defence against internal threats,Threat prevention,All of the above
What is social media optimiza­tion?,Easily creating publicity by social networks,Easily creating publicity by social networks,Writing clear content,Creating short content which is easily indexed,Creating content for hiring people in social networking
Which of the following is not a browser?,Android,Android,Firefox,Chrome,Safari
"In the communication model, the process of putting the ideas into a message is known as -",Encoding,Decoding,Encoding,Persuasion,Interference
Which type of problem was used by Kohler in problem-solving?,Detour problems,Verbal material,Detour problems,Puzzle box,None of the above
Which one of the following is not a type of informal communication network?,Circular,Cluster,Probability,Gossip,Circular
Blind and not blind is an example of -,Qualitative data,Qualitative data,Quantitative data,Both (A) and (B),None of the above
Functional fixedness produces ...................... in the problem-solving process.,Blocking,Partial facilitation,Blocking,No effect,Facilitation
Which one of the following is not used by the people as a method of problem-solving?,Functional Fixedness,Trial and Error,Functional Fixedness,Algorithms,Heuristics
Which one of the following methods of problem-solving gives a guarantee of success?,Algorithms method,Heuristics method,Planning method,Algorithms method,Backward method
Algorithm is a type of,Mechanical solution,Rule of thumb,Mechanical solution,Means-end analysis,Heuristics
MODEM' is used for -,Both A/D and D/A conversions,A/D conversion only,D/ A conversion only,Both A/D and D/A conversions,None of the above
"In an ER diagram, an ellipse represents",Attributes,Relation,Attributes,fields,Key
Hard copies can be obtained from,Printer,Scanner,Speaker,Printer,Recorder
The functional components of a digital computer are,Central Processing Unit,Input Device,Printer,Central Processing Unit,Memory
